query,intent
전화번호는 공일육 사팔구둘 오칠하나일 입니다,1
김과장님 직통번호 찍어드립니다,1
전화번호는 공일육 구팔하나둘 구영둘일 입니다,1
통장 비밀번호가 뭐야 몰라서 못 찾고 있어,1
전화번호는 공일육 영칠구공 삼이삼공 입니다,1
전화번호는 공일육 이사영공 둘일공이 입니다,1
전화번호는 공일육 영칠구공 삼이삼공 입니다,1
비밀번호 세 번 오류 나서 은행 가야 해,1
전화번호는 공일육 사공사칠 이이팔일 입니다,1
핸드폰번호가 바꿨으니 착오 없으시기 바랍니다,1
이 통장의 비밀번호를 잊어버렸어,1
전화번호는 공일육 하나사사일 오육삼공 입니다,1
계좌번호는 신한은행 공구칠일 다시  공공일이삼사오육 다시 칠팔구공 입니다,1
전화번호는 공일육 둘이일삼 오일삼칠 입니다,1
전화번호는 공일육 영둘구공 오구공칠 입니다,1
전화번호는 공일육 칠삼오삼 일사이칠 입니다,1
내가 계좌번호를 외우고 다니는 것도 아니고,1
전화번호는 공일육 사공사칠 이이팔일 입니다,1
전화번호는 공일육 구팔하나둘 구영둘일 입니다,1
계좌번호는 축협 공구칠일 다시 공공일이삼사오육 다시 삼팔구공 입니다,1
전화번호는 공일육 영칠구공 삼이삼공 입니다,1
전화번호는 공일육 팔사칠팔 공칠일일 입니다,1
입금하려고 은행에 왔는데 대기번호가 밀려서 보낸 후에 연락할게,1
전화번호는 공일육 구육사육 팔둘하나둘 입니다,1
전화번호는 공일육 영칠구공 삼이삼공 입니다,1
입금표 계좌번호를 입력하면 자동으로 이름이 떠,1
와이파이 비밀번호 뭐야,1
현관 비밀번호 바꾼지 얼마나 됐니,1
네가 좋다고 추천해준 한의원 전화번호 좀 다시 가르쳐 줄래 ,1
인터넷쇼핑몰은 계좌번호를 어떻게 알아 ,1
이메일 계정 비밀번호 마지막으로 바꾼 날짜가 언제야,1
인터넷쇼핑몰은 계좌번호를 어떻게 알아 ,1
방금 전화온 전화번호를 알려줘,1
예약 번호가 뭐지,1
성함과 방 번호가 어떻게 되시나요,1
이 번호로도 있나요,1
다음 페이지에서 비밀번호 관련 메일 온 것 있냐,1
하늘나라의 전화번호는,1
어제 임시비밀번호 메일로 받은 것 있는지 확인해줘,1
너는 왜 통장 비밀번호랑 카드 비밀번호랑 똑같지,1
이메일 계정 비밀번호가 바뀌었니,1
어제 임시비밀번호 받았던 메일 삭제됐니,1
메일로 받은 업체 전화번호 좀 확인해줘,1
내일 갈 마사지샵의 전화번호를알려줘,1
오늘 만나는 사람 전화번호 알려줘,1
저번 주에 샀던 컴퓨터 샀던 전자센터 전화번호를 알려줘,1
시제이 홈쇼핑 전화번호는,1
비밀번호 변경 완료 메일 왔니,1
이 번호로도 있나요,1
성함과 방 번호가 어떻게 되시나요,1
다음주에 번호 이동하니,1
내일 같이 영화보는 사람 번호 알려줄 수 있니,1
메일 비밀번호를 조금 어렵게 바꿀까,1
지난 달 산 잔디깎는 제초기 회사의 전화번호를 아니,1
방금 전화온 전화번호는 뭐니,1
집근처 중고나라 전화번호 알려줘,1
이메일 로그인 비밀번호 변경할 수 있니,1
스팸함에 비밀번호 찾기랑 관련된 이메일은 일반으로 구분해줘,1
전자금융거래와 계좌 비밀번호를 다르게 사용해,1
아이 백업 봇 에서다운 받은 전화 번호를 넣어 주세요,1
통장의 비밀번호를 함부로 누설하면 안 된다,1
수표 뒤에 이름과 주민 번호를 적어야지,1
내 전화번호 바뀐 거 알지 잊지 말고 꼭 저장 부탁해,1
현관문 비밀 번호 바꿔줘,1
메일에 있는 번호 저장해줄 수 있니,1
비밀번호 재 설정 메일 열어줄 수 있니,1
도어락 비밀번호 초기화해줘,1
내 휴대전화 이 번호로 바뀌었으니까 다시 저장해,1
회사에서 온 메일을 전화번호부 회사 목록의 사람들에게 전달해줘,1
관리자 비밀번호 바꿔줘,1
메일에 있는 번호 저장해줘,1
현관문 비밀번호 바꿔줄래,1
메일에 내 전화번호도 같이 보내줘,1
비밀번호 재설정 화면으로 이동시켜줘,1
밤에 택시 타는 거 위험하니까 꼭 번호 적어놔,1
메일에 내 전화번호도 같이 보내줄 수 있니,1
계좌번호랑 수취인명이 일치하지 않네요 확인 부탁드려요,1
비밀 번호 유출 되지 않게 조심해,1
비밀번호 삼 회 오류입니다 은행으로 방문해 주세요,1
통장 비밀 번호로 연락처 쓰면 안 되요,1
이번에 새로 받은 사이트 비밀번호 삭제해줘,1
쇼핑몰에서 임시 비밀번호 보내줬을텐데 왜 안띄워주냐,1
번호표 뽑고 기다리고 있어,1
입금표 계좌번호를 입력하면 자동으로 이름이 떠,1
신용카드 번호 외우고 있어,1
책상위에 전화번호부 있어,1
버스 번호 외우기가 힘들어,1
신용카드 번호 외우고 있어,1
전화번호는 공일육 사공사칠 이이팔일 입니다,1
전화번호는 공일육 사팔구둘 오칠하나일 입니다,1
은행 홈페이지에서 회원가입을 하려면 계좌번호가 있어야 해,1
디앤샵 주문번호 일 육 삼 이 일 사 입금확인 되었습니다,1
전화번호는 공일육 공삼구둘 둘삼둘사 입니다,1
전화번호는 공일육 하나사사일 오육삼공 입니다,1
내가 계좌번호 말해줬다,1
내가 둘이 문자 주고받은 거랑 박진석 그 새끼가 지 손으로  비밀번호 누르구 그 집에 들어가는 거 다 찍어놨으니까,1
로또 번호 알아내갖고 내 알려주고 니도 한 장 사고 하믄 좋을낀데,1
전화번호는 공일육 하나사사일 오육삼공 입니다,1
전화번호는 공일육 이사영공 둘일공이 입니다,1
전화번호는 공일육 이삼공구 팔구구이 입니다,1
전화번호는 공일육 구둘사칠 이하나삼구 입니다,1
전화번호는 공일육 팔사칠팔 공칠일일 입니다,1
계좌번호가 너무 많아서 못 외우겠어,1
전화번호는 공일육 이사영공 둘일공이 입니다,1
전화번호는 공일육 영칠구공 삼이삼공 입니다,1
통장의 비밀번호 모르면 신분증 가지고 가서 재발급 받으면 돼,1
전화번호는 공일육 칠삼오삼 일사이칠 입니다,1
그런데 계좌번호는 왜 알려준 거야,1
어제 임시비밀번호 메일로 받은 것 삭제해줘,1
항상 계좌번호를 외워둬,1
동참해 보실 분 댓글과 전화 번호를 남겨 주세요,1
친구야 계좌번호 알려줄 테니 돈은 이리로 부치면 될 거야,1
이메일 계정 비밀번호 바꿔줘,1
이메일 로그인 비밀번호 변경해줘,1
그 은행에 가면 주민번호를 불러 줘야 해,1
은행에서 번호표 뽑고 있어,1
그 은행에 가면 주민번호를 불러 줘야 해,1
이 영화 있는사람 공유 부탁합니다 제 폰번호 111 4427 2774 연락한통만요^-^;,1
"작가때문에 1점 주려다가 영화가 너무 좋아서 11점줌비행기를 끌고 추운곳에다 추락시키는대 애시당초 비행기 자체가""자동항법으로 운행되는대 비밀번호가 필요해 그러니 파괴시켜야해""가 아닌 그냥 자기가 운전해서 가따박음그럴거면 그냥 안전하게 착륙해",1
비밀번호가 뭐야? 서윤내사랑 ㅋ_ㅋ,1
용팔이 시르즈를 볼려면 어떻게 하는지.전화번호좀,1
보다 말았는데 심장 졸라 쫄깃해진다;; 근데 여주 졸라 답답함. 세면대 물기 닦는 철저함도 보였으면서 차번호도 안봐두고...글고 주유소에 불 지르면 될텐데... 글고 쪼매난 총으로 뭐 어쩌려고 미친놈 소굴에 따라가냐,1
"사실을 말해 주지 않아 1점. 막판 없는 주민 번호라 할때 대반전 서스펜스 공포영화인줄 알았으나, 일말의양심도 없이 이도저도 아니었음.개실망. 주인공들이 첨부터 끝까지 개구라만치는 사기극임.",1
이영화만든감독님 전화 번호 아시는분? ㅎㅎㅎㅎ귓속에대고 조근조근한말투로 따뜻한욕 한마디해드리고싶어요,1
"채권맡긴날 그리고 3개월후 채권찾는날, 은행 뒤편의 전광판날짜가 똑같네. 대기번호까지 똑같고...스토리 엉성하고 연기엉성한건 말할것도 없고 -.-;;;91년대 비디오용 영화수준",1
진짜 잼있다 숟가락 번호 맞추기 ㅋㅋ 영화시작 한지 21불만에 눈감고 끝날때까지 피로풀어준 영화 ㅋ,1
"개발연기에, 논리라는 말도 붙이기 민망한 비약. 화투패의 주민번호 소유주가 죽는다. ㅡㅡ 개똥같은...",1
"12년동안 돈많은 남편한테 붙어 있으면서 애인은 따로 두고 죽을 때 되니 사랑하는 애인한텐 못가겠고 남편옆에서 빌붙어있다가 죽기 직전 ""사랑"" 폴더 비밀번호를 알려주면서 남편에게 넌 이것밖에 안되는 놈이었다고 재대로 한방 먹여주고 가버리네 ㅋㅋ",1
"전화번호부 보는 느낌,",1
어사일럼 여기서 만든 영화는 다 이렇다 허접의 진수성찬이라고 할까 모든게 어색하지만 자동차 추격전 봐라 기가 막히다 차 번호도 막 바뀌고 사람 숫자도 틀리고 헬기는 뭔지,1
코메디 인줄.... 테러범이라는 애들이 비밀번호는 죄다 기념일이고 일반인한테 맞고다녀... 진짜 이렇게 허술한 영화는 대학생 동아리에서도 만들겠다 인생죄악의 영화임...,1
이승준 2번 다시 영화 찍지 마라.. 연기 더럽게 못하고 어색하네 18.. 내용도 개 쓰레기고.. 고스톱 점수로 안 나오는 주민 번호 가진 사람들은 뭐냐 장난하나 18,1
가락지빵 주문하게 전화번호 줘,1
가래떡 주문하게 전화번호 줘,1
가루우유 주문하게 전화번호 줘,1
가지나물 주문하게 전화번호 줘,1
간고등어 주문하게 전화번호 줘,1
간장 주문하게 전화번호 줘,1
갈비 주문하게 전화번호 줘,1
갈비탕 주문하게 전화번호 줘,1
감자튀기 주문하게 전화번호 줘,1
감자튀김 주문하게 전화번호 줘,1
강냉이 주문하게 전화번호 줘,1
강정 주문하게 전화번호 줘,1
개떡 주문하게 전화번호 줘,1
개장 주문하게 전화번호 줘,1
건빵 주문하게 전화번호 줘,1
겨울냉면 주문하게 전화번호 줘,1
경편 주문하게 전화번호 줘,1
계란 주문하게 전화번호 줘,1
계란덮밥 주문하게 전화번호 줘,1
계란말이 주문하게 전화번호 줘,1
고기 주문하게 전화번호 줘,1
고기겹빵 주문하게 전화번호 줘,1
고량소주 주문하게 전화번호 줘,1
고량주 주문하게 전화번호 줘,1
고로케 주문하게 전화번호 줘,1
고추가루 주문하게 전화번호 줘,1
고추장 주문하게 전화번호 줘,1
고춧가루 주문하게 전화번호 줘,1
곤밥 주문하게 전화번호 줘,1
골동반 주문하게 전화번호 줘,1
곰 주문하게 전화번호 줘,1
곰국 주문하게 전화번호 줘,1
공갈빵 주문하게 전화번호 줘,1
과자 주문하게 전화번호 줘,1
광동요리 주문하게 전화번호 줘,1
구멍국수 주문하게 전화번호 줘,1
구야시 주문하게 전화번호 줘,1
국 주문하게 전화번호 줘,1
국물 주문하게 전화번호 줘,1
국밥 주문하게 전화번호 줘,1
국수 주문하게 전화번호 줘,1
국수발 주문하게 전화번호 줘,1
국수오리 주문하게 전화번호 줘,1
국숫발 주문하게 전화번호 줘,1
규돈 주문하게 전화번호 줘,1
기름밥 주문하게 전화번호 줘,1
기름사탕 주문하게 전화번호 줘,1
김 주문하게 전화번호 줘,1
김밥 주문하게 전화번호 줘,1
김초밥 주문하게 전화번호 줘,1
김치 주문하게 전화번호 줘,1
김치찌개 주문하게 전화번호 줘,1
까까 주문하게 전화번호 줘,1
깍두기 주문하게 전화번호 줘,1
껌 주문하게 전화번호 줘,1
꼬부랑국수 주문하게 전화번호 줘,1
꿀 주문하게 전화번호 줘,1
꿀타래 주문하게 전화번호 줘,1
꿔바로우 주문하게 전화번호 줘,1
나박김치 주문하게 전화번호 줘,1
날김치 주문하게 전화번호 줘,1
날달걀 주문하게 전화번호 줘,1
날맥주 주문하게 전화번호 줘,1
냉라면 주문하게 전화번호 줘,1
냉면 주문하게 전화번호 줘,1
녹차 주문하게 전화번호 줘,1
다코야키 주문하게 전화번호 줘,1
단디 주문하게 전화번호 줘,1
단맛감 주문하게 전화번호 줘,1
단무지 주문하게 전화번호 줘,1
단물얼음 주문하게 전화번호 줘,1
단얼음 주문하게 전화번호 줘,1
달걀 주문하게 전화번호 줘,1
달걀덮밥 주문하게 전화번호 줘,1
달걀말이 주문하게 전화번호 줘,1
닭갈비 주문하게 전화번호 줘,1
닭강정 주문하게 전화번호 줘,1
닭개장 주문하게 전화번호 줘,1
닭고기 주문하게 전화번호 줘,1
닭고기덮밥 주문하게 전화번호 줘,1
닭꼬치 주문하게 전화번호 줘,1
닭튀김 주문하게 전화번호 줘,1
대굿국 주문하게 전화번호 줘,1
덮밥 주문하게 전화번호 줘,1
도넛 주문하게 전화번호 줘,1
도미빵 주문하게 전화번호 줘,1
돈가스 주문하게 전화번호 줘,1
동치미 주문하게 전화번호 줘,1
돼지고기 주문하게 전화번호 줘,1
돼지고기덮밥 주문하게 전화번호 줘,1
된장 주문하게 전화번호 줘,1
된장찌개 주문하게 전화번호 줘,1
두부 주문하게 전화번호 줘,1
디저트 주문하게 전화번호 줘,1
땅콩과자 주문하게 전화번호 줘,1
떡 주문하게 전화번호 줘,1
떡국 주문하게 전화번호 줘,1
떡꼬치 주문하게 전화번호 줘,1
떡볶이 주문하게 전화번호 줘,1
뜨더국 주문하게 전화번호 줘,1
라면 주문하게 전화번호 줘,1
라면떡볶이 주문하게 전화번호 줘,1
라면수프 주문하게 전화번호 줘,1
라바슈 주문하게 전화번호 줘,1
라볶이 주문하게 전화번호 줘,1
럼 주문하게 전화번호 줘,1
레모네이드 주문하게 전화번호 줘,1
레몬수 주문하게 전화번호 줘,1
마가린 주문하게 전화번호 줘,1
마른반찬 주문하게 전화번호 줘,1
마른오징어 주문하게 전화번호 줘,1
마멀레이드 주문하게 전화번호 줘,1
마요네즈 주문하게 전화번호 줘,1
마카로니 주문하게 전화번호 줘,1
마파두부 주문하게 전화번호 줘,1
막걸리 주문하게 전화번호 줘,1
막대사탕 주문하게 전화번호 줘,1
만두 주문하게 전화번호 줘,1
만두기 주문하게 전화번호 줘,1
맘마 주문하게 전화번호 줘,1
맥주 주문하게 전화번호 줘,1
머스터드 주문하게 전화번호 줘,1
머스터드소스 주문하게 전화번호 줘,1
먹거리 주문하게 전화번호 줘,1
면발 주문하게 전화번호 줘,1
묵 주문하게 전화번호 줘,1
문어빵 주문하게 전화번호 줘,1
물냉면 주문하게 전화번호 줘,1
미숫가루 주문하게 전화번호 줘,1
미음 주문하게 전화번호 줘,1
밀가루 주문하게 전화번호 줘,1
밀국수 주문하게 전화번호 줘,1
밀크커피 주문하게 전화번호 줘,1
바게트 주문하게 전화번호 줘,1
바비큐 주문하게 전화번호 줘,1
바삭과자 주문하게 전화번호 줘,1
박고지 주문하게 전화번호 줘,1
박하사탕 주문하게 전화번호 줘,1
밥 주문하게 전화번호 줘,1
밥감주 주문하게 전화번호 줘,1
배추김치 주문하게 전화번호 줘,1
배춧국 주문하게 전화번호 줘,1
백설탕 주문하게 전화번호 줘,1
백엽다 주문하게 전화번호 줘,1
백포도주 주문하게 전화번호 줘,1
버터 주문하게 전화번호 줘,1
보드카 주문하게 전화번호 줘,1
보르시 주문하게 전화번호 줘,1
보리밥 주문하게 전화번호 줘,1
보리차 주문하게 전화번호 줘,1
보릿가루 주문하게 전화번호 줘,1
보신탕 주문하게 전화번호 줘,1
보쌈김치 주문하게 전화번호 줘,1
볶음밥 주문하게 전화번호 줘,1
부대찌개 주문하게 전화번호 줘,1
부침개 주문하게 전화번호 줘,1
분유 주문하게 전화번호 줘,1
분탕 주문하게 전화번호 줘,1
불고기 주문하게 전화번호 줘,1
붕어빵 주문하게 전화번호 줘,1
브랜디 주문하게 전화번호 줘,1
블랙커피 주문하게 전화번호 줘,1
비빔 주문하게 전화번호 줘,1
비빔냉면 주문하게 전화번호 줘,1
비빔밥 주문하게 전화번호 줘,1
빙수 주문하게 전화번호 줘,1
빠다 주문하게 전화번호 줘,1
빵 주문하게 전화번호 줘,1
삐짜 주문하게 전화번호 줘,1
사이다 주문하게 전화번호 줘,1
사탕 주문하게 전화번호 줘,1
사탕가루 주문하게 전화번호 줘,1
삶은달걀 주문하게 전화번호 줘,1
삼각김밥 주문하게 전화번호 줘,1
삼겹살 주문하게 전화번호 줘,1
삼계탕 주문하게 전화번호 줘,1
삼두음 주문하게 전화번호 줘,1
삼정과 주문하게 전화번호 줘,1
삼합미음 주문하게 전화번호 줘,1
새우튀김 주문하게 전화번호 줘,1
샌드위치 주문하게 전화번호 줘,1
샐러드 주문하게 전화번호 줘,1
생강주 주문하게 전화번호 줘,1
생강즙 주문하게 전화번호 줘,1
생강차 주문하게 전화번호 줘,1
생김치 주문하게 전화번호 줘,1
생라면 주문하게 전화번호 줘,1
생맥주 주문하게 전화번호 줘,1
생선묵 주문하게 전화번호 줘,1
생선전 주문하게 전화번호 줘,1
생선회 주문하게 전화번호 줘,1
생황장 주문하게 전화번호 줘,1
샤실리크 주문하게 전화번호 줘,1
샴팡 주문하게 전화번호 줘,1
샴페인 주문하게 전화번호 줘,1
설고 주문하게 전화번호 줘,1
설고빵 주문하게 전화번호 줘,1
설기과자 주문하게 전화번호 줘,1
설기빵 주문하게 전화번호 줘,1
설탕 주문하게 전화번호 줘,1
누룽지탕 주문하게 전화번호 줘,1
탕수육 주문하게 전화번호 줘,1
라조육 주문하게 전화번호 줘,1
해삼탕 주문하게 전화번호 줘,1
잡치 주문하게 전화번호 줘,1
양장피 주문하게 전화번호 줘,1
깐풍기 주문하게 전화번호 줘,1
라조기 주문하게 전화번호 줘,1
고추잡채 주문하게 전화번호 줘,1
난자완스 주문하게 전화번호 줘,1
깐쇼새우 주문하게 전화번호 줘,1
깐풍육 주문하게 전화번호 줘,1
해물잡탕 주문하게 전화번호 줘,1
팔보채 주문하게 전화번호 줘,1
유산슬 주문하게 전화번호 줘,1
마파두부 주문하게 전화번호 줘,1
짜장면 주문하게 전화번호 줘,1
짬뽕 주문하게 전화번호 줘,1
우동 주문하게 전화번호 줘,1
울면 주문하게 전화번호 줘,1
간짜장 주문하게 전화번호 줘,1
잡채밥 주문하게 전화번호 줘,1
양송이덮밥 주문하게 전화번호 줘,1
새우볶음밥 주문하게 전화번호 줘,1
삼선볶음밥 주문하게 전화번호 줘,1
마파두부밥 주문하게 전화번호 줘,1
짜장덮밥 주문하게 전화번호 줘,1
볶음밥 주문하게 전화번호 줘,1
유산슬덮밥 주문하게 전화번호 줘,1
잡탕밥 주문하게 전화번호 줘,1
삼선짬뽕 주문하게 전화번호 줘,1
삼선우동 주문하게 전화번호 줘,1
삼선간짜장 주문하게 전화번호 줘,1
떡국 주문하게 전화번호 줘,1
떡만두국 주문하게 전화번호 줘,1
갈비탕 주문하게 전화번호 줘,1
왕만두 주문하게 전화번호 줘,1
육개장 주문하게 전화번호 줘,1
제육덮밥 주문하게 전화번호 줘,1
오징어덮밥 주문하게 전화번호 줘,1
자장 주문하게 전화번호 줘,1
자장면 주문하게 전화번호 줘,1
자장밥 주문하게 전화번호 줘,1
주문하게 전화번호 줘,1
중국집 주문하게 전화번호 줘,1
음식점 주문하게 전화번호 줘,1
거기 주문하게 전화번호 줘,1
여기 주문하게 전화번호 줘,1
가게 주문하게 전화번호 줘,1
레스토랑 주문하게 전화번호 줘,1
집 주문하게 전화번호 줘,1
이집 주문하게 전화번호 줘,1
길에서 번호 따였어 잘 해보세요.,1
로또 당첨 번호 불러봐 제가 알면 제가 먼저 했을 거예요.,1
로또 당첨 번호를 불러 주세요 알면 제가 하죠.,1
로또 번호 알려줘 제가 알면 제가 먼저 했을 거예요.,1
로또 번호 알려줘 알면 제가 하죠.,1
모르는 번호로 전화왔어 받지마세요.,1
모르는 번호에서 전화오면? 받지마세요.,1
번호 달라고 해볼까? 용기를 내보세요!,1
번호 따볼까나 용기를 내보세요!,1
번호키 누르는 소리가 나서 무서움 심하면 신고하세요.,1
비밀번호 기억안 나 회원정보 찾기를 해보세요.,1
비밀번호 까먹었다 회원정보 찾기를 해보세요.,1
비밀번호 뭐였더라 회원정보 찾기를 해보세요.,1
비밀번호 자꾸 바꾸래 보안상 그게 좋죠.,1
비밀번호 자꾸 바꿔 보안상 그게 좋죠.,1
택배 안와. 송장 번호를 확인해보세요.,1
택배 왜 안오지? 송장 번호를 확인해보세요.,1
결국 핸드폰 번호 바꿨어 이제 연락 하지 마세요.,1
결국 핸드폰 번호 바꿨어 이제 진짜 잊어요.,1
그래도 겨우 번호를 지웠어 마음에서도 지워주세요.,1
누구나 가슴속에 있는 전화번호. 한 숫자씩 지워보세요.,1
번호를 알아내서 연락하면 소름돋을까? 그건 좀 참아보세요.,1
비밀번호 뭐였더라 회원정보 찾기를 해보세요.,1
여친 핸폰번호 기억못하나? 언젠간 잊혀지더라고요.,1
헤어졌는데 왜제번호를안지워을까 이해해안돼네 바빠서 그럴 수도 있어요. 신경쓰지 않는 연습을 해봐요.,1
내 번호를 따간 사람이 내 친구가 좋아하는 애야. 운명의 장난같네요.,1
미팅에서 번호 딴 애가 좋은데 뭐라고 연락을 할까? 잘 들어갔는지 가볍게 물어보면서 다음 약속을 잡아보세요.,1
자주 가는 카페에 알바생한테 번호 따고 싶은데 쪽지를 남겨서 마음을 전해보세요.,1
학원 다른반에 좋아하는 사람이 있는데 번호를 알고 싶은데 방법 좀 알려주세요. 직접 물어보거나 친구를 통해서 알아내보세요.,1
헬스장에서 인사하는 사람 맘에 드는데 번호 달라고 할까? 말씀해보세요.,1
제가 번호물어봤는데 얘기하다가 여자분 아버지분이신지 오셔서 가자고 하더라구요..,1
모임에서 번호 따가놓고전화도 많이하고 카톡도 많이하고그러더니다시 만나고 연락 없는건 뭘까,1
아무튼 저도 놀래서 번호주고 급히 나왔어요,1
 주민등록번호 모르는데......,1
버스에서 내려서 전화하라던데사이트도 없고 제가 지원한데는 회사전화번호도 없고 핸드폰번호뿐이더라구요,1
번호딴사람 찼는데...,1
 주민번호도 몰라서요..,1
남자친구가 제 번호를안쓴걸까요????,1
제가 그사람 번호랑 카톡삭제후다시 입력하면 카톡에 안뜨나염?1,공포
번호바꾸는 남자는 무슨심리인가요?,1
핸드폰 번호는 어찌어찌해서 알아내긴 했는데..,1
집에 아무도 없고 아내도 전화를 안받는다고집 비밀번호를 알려달라는데 좀 찜찜사더군요..,1
